trade_id,year,quarter,year_quarter,exporter_country_code,exporter_country,exporter_region,importer_country_code,importer_country,importer_region,hardware_type,hardware_category,volume_units,trade_value_usd_millions,primary_supplier,trade_route,export_control_applied,restriction_factor,geopolitical_sensitivity,geo_risk_score_exporter,geo_risk_score_importer,data_source,is_synthetic
TF000054,2017,2,2017-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,16673,972.64,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.16,3.24,UN Comtrade/WITS/SIA Reports,0
TF000055,2017,3,2017-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,17098,997.44,AMD,Trans-Pacific / Suez,0,1.0,Low,8.21,3.08,UN Comtrade/WITS/SIA Reports,0
TF000056,2017,4,2017-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,15766,919.7,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.15,3.11,UN Comtrade/WITS/SIA Reports,0
TF000057,2018,1,2018-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,13603,793.51,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.23,3.25,UN Comtrade/WITS/SIA Reports,0
TF000058,2018,2,2018-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,15444,900.95,AMD,Trans-Pacific / Suez,0,1.0,Low,8.2,3.12,UN Comtrade/WITS/SIA Reports,0
TF000059,2018,3,2018-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,18950,1105.42,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.1,3.26,UN Comtrade/WITS/SIA Reports,0
TF000060,2018,4,2018-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,15689,915.23,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.33,3.09,UN Comtrade/WITS/SIA Reports,0
TF000061,2019,1,2019-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,15755,919.05,AMD,Trans-Pacific / Suez,0,1.0,Low,8.08,3.39,UN Comtrade/WITS/SIA Reports,0
TF000062,2019,2,2019-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,20415,1190.89,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.13,3.31,UN Comtrade/WITS/SIA Reports,0
TF000063,2019,3,2019-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,21113,1231.63,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.22,3.27,UN Comtrade/WITS/SIA Reports,0
TF000064,2019,4,2019-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,16209,945.55,AMD,Trans-Pacific / Suez,0,1.0,Low,8.08,3.38,UN Comtrade/WITS/SIA Reports,0
TF000065,2020,1,2020-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,17555,1024.05,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.24,3.27,UN Comtrade/WITS/SIA Reports,0
TF000066,2020,2,2020-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,17641,1029.09,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.27,3.44,UN Comtrade/WITS/SIA Reports,0
TF000067,2020,3,2020-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,20966,1223.03,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.28,3.36,UN Comtrade/WITS/SIA Reports,0
TF000068,2020,4,2020-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,15209,887.23,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.1,3.44,UN Comtrade/WITS/SIA Reports,0
TF000069,2021,1,2021-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,29863,1742.06,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.3,3.26,UN Comtrade/WITS/SIA Reports,0
TF000070,2021,2,2021-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,34585,2017.51,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,8.3,3.28,UN Comtrade/WITS/SIA Reports,0
TF000071,2021,3,2021-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,35287,2058.46,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.51,3.43,UN Comtrade/WITS/SIA Reports,0
TF000072,2021,4,2021-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,28687,1673.41,AMD,Trans-Pacific / Suez,0,1.0,Low,8.51,3.3,UN Comtrade/WITS/SIA Reports,0
TF000073,2022,1,2022-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,31247,1822.78,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.77,3.48,UN Comtrade/WITS/SIA Reports,0
TF000074,2022,2,2022-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,40397,2356.53,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.75,3.46,UN Comtrade/WITS/SIA Reports,0
TF000075,2022,3,2022-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,35255,2056.6,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.66,3.37,UN Comtrade/WITS/SIA Reports,0
TF000076,2022,4,2022-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,32292,1883.72,AMD,Trans-Pacific / Suez,0,1.0,Low,8.84,3.41,UN Comtrade/WITS/SIA Reports,0
TF000077,2023,1,2023-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,69693,4065.46,AMD,Trans-Pacific / Suez,0,1.0,Low,8.99,3.59,UN Comtrade/WITS/SIA Reports,0
TF000078,2023,2,2023-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,72846,4249.35,AMD,Trans-Pacific / Suez,0,1.0,Low,8.97,3.5,UN Comtrade/WITS/SIA Reports,0
TF000079,2023,3,2023-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,70719,4125.29,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,9.02,3.43,UN Comtrade/WITS/SIA Reports,0
TF000080,2023,4,2023-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,59528,3472.48,AMD,Trans-Pacific / Suez,0,1.0,Low,8.99,3.4,UN Comtrade/WITS/SIA Reports,0
TF000081,2024,1,2024-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,81703,4766.02,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,9.34,3.68,UN Comtrade/WITS/SIA Reports,1
TF000082,2024,2,2024-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,81816,4772.63,AMD,Trans-Pacific / Suez,0,1.0,Low,9.05,3.69,UN Comtrade/WITS/SIA Reports,1
TF000083,2024,3,2024-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,86982,5073.98,AMD,Trans-Pacific / Suez,0,1.0,Low,9.34,3.7,UN Comtrade/WITS/SIA Reports,1
TF000084,2024,4,2024-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,84556,4932.45,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,9.14,3.53,UN Comtrade/WITS/SIA Reports,1
TF000085,2025,1,2025-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,91169,5318.25,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,9.4,3.52,UN Comtrade/WITS/SIA Reports,1
TF000086,2025,2,2025-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,97406,5682.02,AMD,Trans-Pacific / Suez,0,1.0,Low,9.58,3.68,UN Comtrade/WITS/SIA Reports,1
TF000087,2025,3,2025-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,102409,5973.89,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,9.33,3.65,UN Comtrade/WITS/SIA Reports,1
TF000088,2025,4,2025-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,GPU_High_End,Advanced,99136,5782.98,Intel Arc,Trans-Pacific / Suez,0,1.0,Low,9.34,3.63,UN Comtrade/WITS/SIA Reports,1
TF000089,2015,1,2015-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,11909,694.69,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.27,3.26,UN Comtrade/WITS/SIA Reports,0
TF000090,2015,2,2015-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,13086,763.38,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.16,3.14,UN Comtrade/WITS/SIA Reports,0
TF000091,2015,3,2015-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,14051,819.65,Huawei Ascend,Trans-Pacific / Suez,0,1.0,Low,8.29,3.31,UN Comtrade/WITS/SIA Reports,0
TF000092,2015,4,2015-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,12662,738.65,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.2,3.2,UN Comtrade/WITS/SIA Reports,0
TF000093,2016,1,2016-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,13262,773.62,Google TPU,Trans-Pacific / Suez,0,1.0,Low,8.24,3.26,UN Comtrade/WITS/SIA Reports,0
TF000094,2016,2,2016-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,15148,883.64,Huawei Ascend,Trans-Pacific / Suez,0,1.0,Low,8.32,3.15,UN Comtrade/WITS/SIA Reports,0
TF000095,2016,3,2016-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,14381,838.91,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.08,3.22,UN Comtrade/WITS/SIA Reports,0
TF000096,2016,4,2016-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,11601,676.78,Google TPU,Trans-Pacific / Suez,0,1.0,Low,8.19,3.21,UN Comtrade/WITS/SIA Reports,0
TF000097,2017,1,2017-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,13123,765.53,Google TPU,Trans-Pacific / Suez,0,1.0,Low,8.23,3.06,UN Comtrade/WITS/SIA Reports,0
TF000098,2017,2,2017-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,14052,819.74,AWS Trainium,Trans-Pacific / Suez,0,1.0,Low,8.3,3.16,UN Comtrade/WITS/SIA Reports,0
TF000099,2017,3,2017-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,15085,879.96,AWS Trainium,Trans-Pacific / Suez,0,1.0,Low,8.21,3.28,UN Comtrade/WITS/SIA Reports,0
TF000100,2017,4,2017-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,13596,793.15,Intel Gaudi,Trans-Pacific / Suez,0,1.0,Low,8.24,3.08,UN Comtrade/WITS/SIA Reports,0
TF000101,2018,1,2018-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,13643,795.85,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.21,3.21,UN Comtrade/WITS/SIA Reports,0
TF000102,2018,2,2018-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,18048,1052.82,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.27,3.34,UN Comtrade/WITS/SIA Reports,0
TF000103,2018,3,2018-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,18383,1072.38,Huawei Ascend,Trans-Pacific / Suez,0,1.0,Low,8.15,3.29,UN Comtrade/WITS/SIA Reports,0
TF000104,2018,4,2018-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,15240,889.06,Google TPU,Trans-Pacific / Suez,0,1.0,Low,8.18,3.07,UN Comtrade/WITS/SIA Reports,0
TF000105,2019,1,2019-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,14514,846.65,Cambricon,Trans-Pacific / Suez,0,1.0,Low,8.34,3.36,UN Comtrade/WITS/SIA Reports,0
TF000106,2019,2,2019-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,19600,1143.36,Intel Gaudi,Trans-Pacific / Suez,0,1.0,Low,8.17,3.16,UN Comtrade/WITS/SIA Reports,0
TF000107,2019,3,2019-Q3,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,18002,1050.13,Biren,Trans-Pacific / Suez,0,1.0,Low,8.13,3.27,UN Comtrade/WITS/SIA Reports,0
TF000108,2019,4,2019-Q4,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,18169,1059.92,Biren,Trans-Pacific / Suez,0,1.0,Low,8.25,3.19,UN Comtrade/WITS/SIA Reports,0
TF000109,2020,1,2020-Q1,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,17764,1036.26,Biren,Trans-Pacific / Suez,0,1.0,Low,8.27,3.34,UN Comtrade/WITS/SIA Reports,0
TF000110,2020,2,2020-Q2,TW,Taiwan,Asia-Pacific,US,United States,North America,AI_Accelerator,Advanced,18794,1096.36,NVIDIA,Trans-Pacific / Suez,0,1.0,Low,8.18,3.24,UN Comtrade/WITS/SIA Reports,0
